fppc,det rate,tp,fp,fn,map,map_50,image_id,precision,recall,f1
0.33333,0.66667,2.0,1.0,1.0,0.1775577515363693,0.5544555187225342,200021869-00003_1,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.0,1.0,184.0,0.0,0.0,0.5035212635993958,0.5445544719696045,umgy011-031,1.0,1.0,1.0
0.00676,1.0,296.0,2.0,0.0,0.2985680103302002,0.3366336524486542,200021660-00077_1,0.9932885906040269,1.0,0.9966329966329966
0.0,1.0,153.0,0.0,0.0,0.5677908658981323,0.6534653306007385,200003076_00004_2,1.0,1.0,1.0
0.01892,0.99189,367.0,7.0,3.0,0.243824616074562,0.2772277295589447,brsk002-060,0.9812834224598931,0.9918918918918919,0.9865591397849462
0.01205,1.0,166.0,2.0,0.0,0.4815326035022735,0.603960394859314,200021853-00025_2,0.9880952380952381,1.0,0.9940119760479043
0.01504,0.99248,132.0,2.0,1.0,0.6363815069198608,0.7524752616882324,100249416_00009_2,0.9850746268656716,0.9924812030075187,0.9887640449438201
0.00549,0.98626,359.0,2.0,5.0,0.2398253232240677,0.2772277295589447,brsk002-047,0.9944598337950139,0.9862637362637363,0.9903448275862069
0.00971,0.98058,101.0,1.0,2.0,0.8669582009315491,0.9485948085784912,100249371_00005_2,0.9901960784313726,0.9805825242718447,0.9853658536585367
0.04,1.0,200.0,8.0,0.0,0.4398798942565918,0.5049505233764648,umgy004-024,0.9615384615384616,1.0,0.9803921568627451
0.00538,0.99462,185.0,1.0,1.0,0.4823707044124603,0.5346534848213196,hnsd008-025,0.9946236559139785,0.9946236559139785,0.9946236559139785
0.00971,0.95146,98.0,1.0,5.0,0.7704153656959534,0.94999498128891,umgy007-011,0.98989898989899,0.9514563106796117,0.9702970297029703
0.01325,0.99669,301.0,4.0,1.0,0.2963951230049133,0.3225082159042358,200014740-00069_2,0.9868852459016394,0.9966887417218543,0.9917627677100495
0.01042,1.0,96.0,1.0,0.0,0.8136739134788513,1.0,200021660-00075_1,0.9896907216494846,1.0,0.9948186528497409
0.00284,0.99716,351.0,1.0,1.0,0.2531347572803497,0.2871287167072296,brsk005-029,0.9971590909090909,0.9971590909090909,0.9971590909090909
0.0,1.0,206.0,0.0,0.0,0.4231929183006286,0.4851485192775726,hnsd004-014,1.0,1.0,1.0
0.0,1.0,134.0,0.0,0.0,0.651332437992096,0.7425742745399475,100241706_00017_1,1.0,1.0,1.0
0.00495,1.0,202.0,1.0,0.0,0.4464635252952575,0.4950495064258575,200015779_00107_1,0.9950738916256158,1.0,0.9975308641975309
0.00493,0.99507,202.0,1.0,1.0,0.4423687160015106,0.480891078710556,200003076_00107_2,0.9950738916256158,0.9950738916256158,0.9950738916256159
0.0,1.0,135.0,0.0,0.0,0.6470093131065369,0.7425742745399475,100241706_00018_2,1.0,1.0,1.0
0.01667,0.98611,355.0,6.0,5.0,0.2299293726682663,0.2772277295589447,brsk001-023,0.9833795013850416,0.9861111111111112,0.984743411927878
0.02083,0.99702,335.0,7.0,1.0,0.2683143019676208,0.2970297038555145,200014685-00019_2,0.97953216374269,0.9970238095238095,0.9882005899705014
0.00592,0.99408,168.0,1.0,1.0,0.5363190770149231,0.594059407711029,200021712-00073_1,0.9940828402366864,0.9940828402366864,0.9940828402366864
0.00532,1.0,376.0,2.0,0.0,0.2360977977514267,0.2673267424106598,brsk005-016,0.9947089947089947,1.0,0.9973474801061007
0.05556,0.9899,196.0,11.0,2.0,0.4026901125907898,0.4809827804565429,100249416_00003_2,0.9468599033816425,0.98989898989899,0.9679012345679013
0.0,1.0,232.0,0.0,0.0,0.3859480917453766,0.4356435537338257,200003076_00042_1,1.0,1.0,1.0
0.02721,0.98639,145.0,4.0,2.0,0.6356675028800964,0.6831682920455933,200003967_00015_1,0.9731543624161074,0.9863945578231292,0.9797297297297297
0.00595,1.0,168.0,1.0,0.0,0.5361052751541138,0.594059407711029,200021712-00071_1,0.9940828402366864,1.0,0.9970326409495549
0.39583,0.98611,142.0,57.0,2.0,0.3589083850383758,0.4592906534671783,hnsd008-039,0.7135678391959799,0.9861111111111112,0.8279883381924198
0.01227,0.99387,162.0,2.0,1.0,0.5238390564918518,0.6138613820075989,200021712-00081_2,0.9878048780487805,0.9938650306748467,0.9908256880733946
0.01587,0.98942,187.0,3.0,2.0,0.2635148763656616,0.5238613486289978,100249476_00014_2,0.9842105263157894,0.9894179894179894,0.9868073878627968
0.02778,1.0,216.0,6.0,0.0,0.4206135272979736,0.4653465449810028,200003076_00084_1,0.972972972972973,1.0,0.9863013698630138
0.0,0.99107,222.0,0.0,2.0,0.4059773683547973,0.4455445408821106,umgy007-034,1.0,0.9910714285714286,0.9955156950672646
0.00481,0.98077,204.0,1.0,4.0,0.4326891601085663,0.4851485192775726,umgy005-027,0.9951219512195122,0.9807692307692307,0.9878934624697335
0.01422,0.99052,209.0,3.0,2.0,0.4296344816684723,0.4752475321292877,200015779_00107_2,0.9858490566037735,0.990521327014218,0.9881796690307328
0.0,1.0,159.0,0.0,0.0,0.5366865992546082,0.6237623691558838,200021712-00059_2,1.0,1.0,1.0
