fppc,det rate,tp,fp,fn,map,map_50,image_id,precision,recall,f1
0.04167,0.98438,189.0,8.0,3.0,0.2480438351631164,0.5066640973091125,test_1,0.9593908629441624,0.984375,0.9717223650385605
0.03203,0.92883,261.0,9.0,20.0,0.1651906222105026,0.3425978422164917,test_24,0.9666666666666667,0.9288256227758007,0.9473684210526316
0.08163,0.95918,188.0,16.0,8.0,0.2236590832471847,0.5039603114128113,test_53,0.9215686274509803,0.9591836734693877,0.9400000000000001
0.09091,0.75758,125.0,15.0,40.0,0.1420671343803405,0.4001302123069763,test_75,0.8928571428571429,0.7575757575757576,0.819672131147541
0.06011,0.96721,177.0,11.0,6.0,0.229775846004486,0.5125601291656494,test_48,0.9414893617021277,0.9672131147540983,0.954177897574124
1.08333,1.0,12.0,13.0,0.0,0.1084488555788993,0.3821782171726227,test_61,0.48,1.0,0.6486486486486487
0.16667,1.0,54.0,9.0,0.0,0.4167358875274658,0.8955603837966919,test_73,0.8571428571428571,1.0,0.923076923076923
0.1295,0.97842,136.0,18.0,3.0,0.2793887555599212,0.6819322109222412,test_8,0.8831168831168831,0.9784172661870504,0.9283276450511946
0.01737,0.8536,344.0,7.0,59.0,0.0997481718659401,0.2456985712051391,test_21,0.98005698005698,0.8535980148883374,0.9124668435013263
1.14286,1.0,14.0,16.0,0.0,0.2715196311473846,0.7420117259025574,test_62,0.4666666666666667,1.0,0.6363636363636364
0.00829,0.85912,311.0,3.0,51.0,0.1565087437629699,0.2772277295589447,test_15,0.9904458598726115,0.8591160220994475,0.9201183431952663
0.01804,0.85567,332.0,7.0,56.0,0.1399898827075958,0.256071537733078,test_16,0.9793510324483776,0.8556701030927835,0.9133425034387894
9.0,1.0,2.0,18.0,0.0,0.146039605140686,0.4504950642585754,test_55,0.1,1.0,0.18181818181818182
0.03631,0.88827,318.0,13.0,40.0,0.1479541510343551,0.2620692551136017,test_19,0.9607250755287009,0.888268156424581,0.923076923076923
0.04902,0.9902,101.0,5.0,1.0,0.3302251398563385,0.9201701879501344,test_23,0.9528301886792453,0.9901960784313726,0.9711538461538463
0.07944,0.95794,205.0,17.0,9.0,0.181046575307846,0.4511124193668365,test_52,0.9234234234234234,0.9579439252336449,0.9403669724770642
0.04564,0.90456,218.0,11.0,23.0,0.1794616430997848,0.3981547951698303,test_34,0.9519650655021834,0.9045643153526971,0.9276595744680851
0.37931,0.96552,28.0,11.0,1.0,0.1891236454248428,0.5260448455810547,test_60,0.717948717948718,0.9655172413793104,0.8235294117647058
0.21311,1.0,61.0,13.0,0.0,0.305084615945816,0.8131106495857239,test_63,0.8243243243243243,1.0,0.9037037037037037
0.04206,0.98598,211.0,9.0,3.0,0.2110899090766906,0.4500031769275665,test_32,0.9590909090909091,0.985981308411215,0.9723502304147467
0.15476,1.0,84.0,13.0,0.0,0.3760557770729065,0.9195393323898317,test_28,0.865979381443299,1.0,0.9281767955801106
0.0597,0.9602,193.0,12.0,8.0,0.2203809171915054,0.4804235696792602,test_46,0.9414634146341463,0.9601990049751243,0.9507389162561576
0.06521181001283698,0.9150192554557125,3564.0,254.0,331.0,0.21670629219575357,0.5189871029420332,fold0,0.9334730225248822,0.9150192554557125,0.9241540256709452
0.03646,0.98958,190.0,7.0,2.0,0.2741920351982116,0.511044442653656,test_1,0.9644670050761421,0.9895833333333334,0.9768637532133675
0.03559,0.97153,273.0,10.0,8.0,0.1703196167945861,0.3530692756175995,test_24,0.9646643109540636,0.9715302491103203,0.9680851063829787
0.07653,0.96939,190.0,15.0,6.0,0.2388734221458435,0.5148515105247498,test_53,0.926829268292683,0.9693877551020408,0.9476309226932669
0.10909,0.82424,136.0,18.0,29.0,0.1764981895685196,0.4493822157382965,test_75,0.8831168831168831,0.8242424242424242,0.8526645768025078
0.0765,0.96721,177.0,14.0,6.0,0.2462957948446273,0.5176202654838562,test_48,0.9267015706806283,0.9672131147540983,0.946524064171123
0.58333,1.0,12.0,7.0,0.0,0.2437788546085357,0.7670983076095581,test_61,0.631578947368421,1.0,0.7741935483870968
0.12963,1.0,54.0,7.0,0.0,0.4729145765304565,0.9174827337265016,test_73,0.8852459016393442,1.0,0.9391304347826086
0.07194,0.99281,138.0,10.0,1.0,0.3307108879089355,0.6586694717407227,test_8,0.9324324324324325,0.9928057553956835,0.9616724738675959
0.02233,0.93052,375.0,9.0,28.0,0.0981835797429084,0.2467326670885086,test_21,0.9765625,0.9305210918114144,0.9529860228716646
0.64286,1.0,14.0,9.0,0.0,0.3991709947586059,0.6986199021339417,test_62,0.6086956521739131,1.0,0.7567567567567568
0.0221,0.94751,343.0,8.0,19.0,0.1639993339776992,0.2772277295589447,test_15,0.9772079772079773,0.9475138121546961,0.9621318373071529
0.02062,0.88402,343.0,8.0,45.0,0.1520687937736511,0.2574257552623749,test_16,0.9772079772079773,0.884020618556701,0.9282814614343708
6.0,1.0,2.0,12.0,0.0,0.1856435686349868,0.4504950642585754,test_55,0.14285714285714285,1.0,0.25
0.03631,0.93575,335.0,13.0,23.0,0.1668720692396164,0.2772277295589447,test_19,0.9626436781609196,0.9357541899441341,0.9490084985835693
0.02941,0.98039,100.0,3.0,2.0,0.3717380464076996,0.9029701948165894,test_23,0.970873786407767,0.9803921568627451,0.975609756097561
0.06542,0.97664,209.0,14.0,5.0,0.1997366249561309,0.4525660276412964,test_52,0.9372197309417041,0.9766355140186916,0.9565217391304348
0.04564,0.92116,222.0,11.0,19.0,0.1873514652252197,0.3987534642219543,test_34,0.9527896995708155,0.921161825726141,0.9367088607594937
0.2069,1.0,29.0,6.0,0.0,0.453018456697464,0.9225836992263794,test_60,0.8285714285714286,1.0,0.90625
0.19672,1.0,61.0,12.0,0.0,0.3728886544704437,0.930319607257843,test_63,0.8356164383561644,1.0,0.9104477611940298
0.03271,0.99065,212.0,7.0,2.0,0.2292256951332092,0.4647524356842041,test_32,0.9680365296803652,0.9906542056074766,0.9792147806004619
0.07143,1.0,84.0,6.0,0.0,0.4539748728275299,0.9739913940429688,test_28,0.9333333333333333,1.0,0.9655172413793104
0.06468,0.9801,197.0,13.0,4.0,0.2404181808233261,0.463363915681839,test_46,0.9380952380952381,0.9800995024875622,0.9586374695863747
0.056225930680359436,0.9489088575096277,3696.0,219.0,199.0,0.26490335064855486,0.5639203549786047,fold1,0.9440613026819923,0.9489088575096277,0.9464788732394366
0.02604,0.98958,190.0,5.0,2.0,0.2773017585277557,0.5126733183860779,test_1,0.9743589743589743,0.9895833333333334,0.9819121447028424
0.03559,0.97153,273.0,10.0,8.0,0.1693818420171737,0.3381086587905884,test_24,0.9646643109540636,0.9715302491103203,0.9680851063829787
0.07653,0.95918,188.0,15.0,8.0,0.2319456189870834,0.5039603114128113,test_53,0.9261083743842364,0.9591836734693877,0.9423558897243107
0.09697,0.80606,133.0,16.0,32.0,0.1906358897686004,0.4793469905853271,test_75,0.8926174496644296,0.806060606060606,0.8471337579617835
